sku;Brand;name;genere;price;url;img;appoggio;categ_running;tipo_runner;obiettivo_runner;peso_runner;larghezza_pianta;superficie_di_corsa;comfort_scarpa_running
I9DISG174900C1141;Diadora;Diadora Eagle 2 Con Strappi Blu ;Uomo;35.000000;https://sportnetit.com/diadora-scarpa-eagle-2-c1141.html;https://sportnetit.com/pub/media/catalog/product/d/i/diadora_eagle_2_con_strappi_blu.jpg;Neutro;Entry level-Amatore;Camminata;Meno di 5km;Meno di 60 kg,60-80 kg;Media;Strada,Palestra/Tapis Roulant;Morbida
E9NYSG2049236;Saucony;Saucony Jazz 21 Uomo Azzurra;Uomo;65.000000;https://sportnetit.com/saucony-jazz-21-uomo-azzurra.html;https://sportnetit.com/pub/media/catalog/product/s/a/saucony-jazz-21-azzurra-36-2.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Tenersi in Forma,Runner Assiduo;Meno di 5km,5-10 km;Meno di 60 kg,60-80 kg;Media;Strada,Palestra/Tapis Roulant;Morbida
I9ASSG1012A177100;Asics;Asics Gel Sileo Donna Real White-Silver;Donna;52.500000;https://sportnetit.com/asics-gel-sileo-donna-100.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gel-sileo-donna-real-white.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Camminata,Tenersi in Forma;Meno di 5km,5-10 km;Meno di 40 kg,40-60 kg;Stretta;Strada,Palestra/Tapis Roulant;Morbida
I9ASSG1012A177005;Asics;Asics Gel Sileo Donna Black-Papaya;Donna;52.500000;https://sportnetit.com/asics-gel-sileo-donna-005.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gel-sileo-donna-black-papaya.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Camminata,Tenersi in Forma;Meno di 5km,5-10 km;Meno di 40 kg,40-60 kg;Stretta;Strada,Palestra/Tapis Roulant;Morbida
I9ASSG1011A738020;Asics;Asics Braid Uomo Metropolis-Silver;Uomo;41.250000;https://sportnetit.com/asics-braid-uomo-020.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-braid-uomo-metropolis-silver.jpg;Neutro;Entry level-Amatore;Camminata,Tenersi in Forma;Meno di 5km;Meno di 60 kg,60-80 kg;Media;Strada,Palestra/Tapis Roulant;Morbida
I9ASSG1011A034005;Asics;Asics Frequent Trail Uomo Black-Birch;Uomo;42.000000;https://sportnetit.com/asics-frequent-trail-uomo-005.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-frequent-trail-uomo-005.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Camminata,Tenersi in Forma;Meno di 5km,5-10 km;60-80 kg;Media;Sterrato;Morbida
I9ASSG1014A068400;Asics;Asics GT 1000 8 da Ragazzo Directoire Blue - Koi;Bambino;42.000000;https://sportnetit.com/asics-gt-1000-8-da-ragazzo-directoire-blue-koi.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gt-1000-8-da-ragazzo-directoire-blue---koi.jpg;;;;;;;Strada,Palestra/Tapis Roulant;
I9ASSG1014A068020;Asics;Asics GT 1000 8 Ragazza;Bambino;42.000000;https://sportnetit.com/asics-gt-1000-8-ragazza.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gt-1000-8-da-ragazzo-piedmont-grey---sun-coral.jpg;;;;;;;Strada,Palestra/Tapis Roulant;
I9ASSG1012A460003;Asics;Asics GT 1000 8 da Donna Nera - Rosa;Donna;84.000000;https://sportnetit.com/asics-gt-1000-8-da-donna-nera-rosa.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gt-1000-8-da-donna-nera---rosa.jpg;Pronazione Leggera;(A4) Ammortizzata-Stabile;Camminata,Tenersi in Forma,Runner Assiduo;Meno di 5km,5-10 km,15-21 km;Meno di 40 kg,40-60 kg;Stretta,Media;Strada,Palestra/Tapis Roulant;Morbida,Durevole
I9MZSGGC190372;Mizuno;Mizuno Wave Rider 23 da Uomo Nero-Grigio;Uomo;108.500000;https://sportnetit.com/mizuno-wave-rider-23-da-uomo-72.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-rider-23-nero-grigia.jpg;Neutro;(A2) Performance;Runner Assiduo,Podista;Meno di 5km,5-10 km,15-21 km,21-42 km;Meno di 60 kg,60-80 kg,80-100 kg;Media;Strada,Palestra/Tapis Roulant;Performance
I9MZSGGC190202;Mizuno;Mizuno Wave Sky 3 da Uomo Glacier Grey-White-Blue;Uomo;119.000000;https://sportnetit.com/mizuno-wave-sky-3-da-uomo-02.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-sky-3-glacier-uomo-gc1902-02.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Runner Assiduo,Podista;5-10 km,15-21 km,21-42 km;80-100 kg,Sopra 100 kg;Media;Strada,Palestra/Tapis Roulant;Morbida,Durevole
I9DISG174476C8139;Diadora;Diadora Mythos Blushield Fly 2 Arancione;Uomo;75.000000;https://sportnetit.com/diadora-mythos-blushield-fly-2-c8139.html;https://sportnetit.com/pub/media/catalog/product/d/i/diadora-blushield-fly-2-arancione.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Camminata,Tenersi in Forma,Runner Assiduo;5-10 km,15-21 km;Meno di 60 kg,60-80 kg,80-100 kg;Media;Strada,Palestra/Tapis Roulant;Morbida
I9DISG174483C1141;Diadora;Diadora Shindano 7 da Uomo Blu;Uomo;55.000000;https://sportnetit.com/diadora-shindano-7-da-uomo-blu.html;https://sportnetit.com/pub/media/catalog/product/d/i/diadora-shindano-7-uomo-blu-101.174483_c1141_01_hr.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Camminata,Tenersi in Forma;Meno di 5km,5-10 km;60-80 kg,80-100 kg,Sopra 100 kg;Larga;Strada,Palestra/Tapis Roulant;Morbida
I9HOSG1102500BLK;Hoka;Hoka Speedgoat 3 Impermeabile da Uomo Nera;Uomo;118.000000;https://sportnetit.com/hoka-speedgoat-3-wp-da-uomo.html;https://sportnetit.com/pub/media/catalog/product/h/o/hoka-speedgoat-3-impermeabile-black-drizzle-5.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Runner Assiduo,Podista;5-10 km,15-21 km,21-42 km,42 km ed Oltre;Meno di 60 kg,60-80 kg,80-100 kg;Media;Sterrato;Morbida,Performance
I9HOSG1019270ADG;Hoka;Hoka Bondi 6 da Donna Arctic Dusk-Grape Juice;Donna;120.000000;https://sportnetit.com/hoka-bondi-6-da-donna.html;https://sportnetit.com/pub/media/catalog/product/h/o/hoka-bondi-6-donna-1019270-grape-1.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Runner Assiduo,Podista;5-10 km,15-21 km,21-42 km,42 km ed Oltre;40-60 kg,Sopra 60 kg;Media;Strada,Palestra/Tapis Roulant;Morbida,Performance
I9HOSG1019269BLK;Hoka;Hoka Bondi 6 da Uomo Nera;Uomo;120.000000;https://sportnetit.com/hoka-bondi-6-da-uomo.html;https://sportnetit.com/pub/media/catalog/product/h/o/hoka-bondi-6-uomo-1019269-blk_1.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Runner Assiduo,Podista;5-10 km,15-21 km,21-42 km,42 km ed Oltre;60-80 kg,80-100 kg,Sopra 100 kg;Media;Strada,Palestra/Tapis Roulant;Morbida,Performance
I9SLSK4079670;Salomon;Salomon Speedcross 5 Uomo Gialla;Uomo;109.000000;https://sportnetit.com/salomon-speedcross-5-uomo-gialla.html;https://sportnetit.com/pub/media/catalog/product/s/a/salomon-speedcross-uomo-gialla-4079670.jpg;Neutro;(A2) Performance;Runner Assiduo,Podista;5-10 km,15-21 km,21-42 km;Meno di 60 kg,60-80 kg,80-100 kg;Stretta,Media;Sterrato;Morbida,Performance
