sku;Brand;name;genere;price;url;img;altezzascarpa;ruolo;caratteristicascarpa;larghezzapianta;allenamenti;pesogiocatore
F0MZSVGA191720;Mizuno;Mizuno Wave Momentum Mid ReflexBlue White;Uomo;109.000000;https://sportnetit.com/mizuno-volley-wave-momentum-mid-20.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-momentum-mid-reflexblue-white.jpg;Alta,Mid;Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 70 e 90 kg,Oltre i 90 kg
F0ADSVFX1772;Adidas;Adidas Adizero Fastcourt Tokyo Signal Pink da Donna;Donna;78.000000;https://sportnetit.com/adidas-adizero-fastcourt-da-donna-fx1772.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-adizero-fastcourt-tokyo-signal-pink-da-donna.jpg;Bassa;Alzatore,Schiacciatore,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg
F0ADSVFW4740;Adidas;Adidas Stabil Next Gen Tokyo Signal Pink da Donna;Donna;98.000000;https://sportnetit.com/adidas-stabil-next-gen-da-donna-fw4740.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-stabil-next-gen-tokyo-signal-pink-da-donna.jpg;Mid;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 50 e 70 kg,Oltre i 70 kg
F0ADSVFW4739;Adidas;Adidas Stabil Next Gen Tokyo Signal Pink da Uomo;Uomo;98.000000;https://sportnetit.com/adidas-stabil-next-gen-da-uomo.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-stabil-next-gen-tokyo-signal-pink-da-uomo.jpg;Mid;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 70 e 90 kg,Oltre i 90 kg
F0ADSVFU8388;Adidas;Adidas Adizero Fastcourt SkyTint-Cloud White da Donna;Donna;72.000000;https://sportnetit.com/adidas-adizero-fastcourt-da-donna.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-adizero-fastcourt-skytint-cloud-white-da-donna.jpg;Bassa;Alzatore,Schiacciatore,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg
F0ADSVFU8385;Adidas;Adidas Adizero Fastcourt Signal Green-Signal Cyan da Uomo;Uomo;72.000000;https://sportnetit.com/adidas-adizero-fastcourt-da-uomo.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-adizero-fastcourt-signal-green-signal-cyan-da-uomo.jpg;Bassa;Alzatore,Schiacciatore,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg
F0ADSVFU8384;Adidas;Adidas Stabil Next Gen Sky Tint-Cloud White da Donna;Donna;98.000000;https://sportnetit.com/adidas-stabil-next-gen-da-donna.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-stabil-next-gen-sky-tint-cloud-white-da-donna.jpg;Mid;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 50 e 70 kg,Oltre i 70 kg
F0ASSV1072A055101;Asics;Asics Upcourt 4 da Donna Bianca-Azzurra;Donna;44.000000;https://sportnetit.com/asics-upcourt-4-da-donna-101.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-upcourt-4-da-donna-bianca-azzurra.jpg;;;;;;
45732;Adidas;Adidas Adizero Fastcourt Core Black Grey Six Solar Gold da Uomo;Uomo;72.000000;https://sportnetit.com/adidas-adizero-fast-court-black-solar-gold.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-adizero-fast-court-core-black-grey-six-solar-gold.jpg;Bassa;Alzatore,Schiacciatore,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg
45730;Adidas;Adidas Crazyflight Core Black;Donna;98.000000;https://sportnetit.com/adidas-crazyflight-black-core-pallavolo.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-crazyflight-core-black.jpg;Bassa;Alzatore,Schiacciatore,Libero;Reattiva,Morbida,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg
46401;Adidas;Adidas Crazyflight Mid Tokyo Edition;Uomo,Donna,Unisex;105.000000;https://sportnetit.com/adidas-crazyflight-mid-tokyo-fx1762.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-crazyflight-mid-tokyo-edition.jpg;Alta,Mid;Alzatore,Schiacciatore,Libero;Reattiva,Morbida,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Oltre i 70 kg,Meno di 70 kg,Tra 70 e 90 kg
46390;Adidas;Adidas Crazyflight Mid Black da Donna;Uomo,Donna,Unisex;105.000000;https://sportnetit.com/adidas-crazyflight-mid-fu8306.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-crazyflight-mid-black-da-donna.jpg;Alta,Mid;Alzatore,Schiacciatore,Libero;Reattiva,Morbida,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Oltre i 70 kg,Meno di 70 kg,Tra 70 e 90 kg
46386;Adidas;Adidas Crazyflight Black da Donna;Donna;98.000000;https://sportnetit.com/adidas-crazyflight-w-ef2677.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-crazyflight-core-black.jpg;Bassa;Alzatore,Schiacciatore,Libero;Reattiva,Morbida,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg
46384;Adidas;Adidas Crazyflight Bounce Nera;Uomo,Donna,Unisex;70.000000;https://sportnetit.com/adidas-crazyflight-bounce-3-bd7918.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-crazyflight-bounce-nera.jpg;Bassa;Alzatore,Schiacciatore,Libero;Reattiva,Morbida,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
46556;Asics;Asics Gel Beyond 6 MT Blu-Viola da Donna;Donna;84.000000;https://sportnetit.com/asics-gel-beyond-mt-6-w-401-1072a051.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gel-beyond-6-mt-blu-viola-da-donna.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Reattiva,Stabile;Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Oltre i 70 kg
46555;Asics;Asics Netburner Ballistic FF 2 MT Donna Blu-Viola;Donna;95.000000;https://sportnetit.com/asics-netburner-ballistic-ff-mt-2-w-404-1052a034.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-netburner-ballistic-ff-2-mt-donna-blu-viola.jpg;Alta,Mid;Alzatore,Schiacciatore,Libero,Universale;Reattiva,Morbida,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Oltre i 70 kg
46554;Asics;Asics Sky Elite FF MT White-Digital Grape Donna;Donna;109.000000;https://sportnetit.com/asics-sky-elite-ff-mt-w-103-1052a023.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-sky-elite-ff-mt-white-digital-grape-donna.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 50 e 70 kg,Oltre i 70 kg
46547;Asics;Asics Gel Beyond 6 MT Blue da Uomo;Uomo;95.000000;https://sportnetit.com/asics-gel-beyond-mt-6-400-1071a050.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gel-beyond-6-mt-blue-da-uomo.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Reattiva,Stabile;Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg,Oltre i 90 kg
46546;Asics;Asics Netburner Ballistic FF 2 MT Azzurro-Arancione;Uomo;95.000000;https://sportnetit.com/asics-netburner-ballistic-ff-mt-2-402-1051a042.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-netburner-ballistic-ff-2-mt-azzurro-arancione.jpg;Alta,Mid;Alzatore,Schiacciatore,Libero,Universale;Reattiva,Morbida,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg
46544;Asics;Asics Sky Elite FF MT Reborn Blue-White Uomo;Uomo;109.000000;https://sportnetit.com/asics-sky-elite-ff-mt-404-1051a032.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-sky-elite-ff-mt-reborn-blue-white-uomo.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 70 e 90 kg,Oltre i 90 kg
46584;Asics;Asics Sky Elite FF MT Tokyo Donna;Donna;108.800000;https://sportnetit.com/asics-sky-elite-ff-mt-w-701-1052a048.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-sky-elite-ff-mt-tokyo-donna.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 50 e 70 kg,Oltre i 70 kg
